n,room,time
1,basic,4.64
1,basic,4.8
3,basic,4.44
3,basic,2.64
5,basic,5.84
5,basic,4.76
7,basic,4.48
7,basic,6.32
9,basic,5.96
9,basic,6.04
1,basic,1.0
1,basic,2.48
1,basic,5.32
1,basic,1.2
3,basic,4.64
3,basic,4.36
3,basic,5.24
3,basic,4.04
5,basic,6.24
5,basic,6.32
5,basic,5.28
5,basic,4.12
7,basic,5.6000000000000005
7,basic,5.44
7,basic,5.36
7,basic,6.36
7,basic,5.68
9,basic,6.52
9,basic,7.12
9,basic,5.68
9,basic,6.76
11,basic,6.72
11,basic,7.32
11,basic,6.28
11,basic,6.0
13,basic,9.08
13,basic,7.44
13,basic,7.52
13,basic,9.08
15,basic,8.0
15,basic,8.92
15,basic,8.6
15,basic,9.92
17,basic,8.8
17,basic,8.56
17,basic,8.84
17,basic,10.32
19,basic,10.6
19,basic,10.0
19,basic,9.8
19,basic,10.92
21,basic,11.2
21,basic,11.12
21,basic,10.16
21,basic,11.32
23,basic,12.04
23,basic,11.48
23,basic,12.24
23,basic,12.64
25,basic,13.04
25,basic,13.16
25,basic,13.52
25,basic,13.28
27,basic,13.96
27,basic,13.84
27,basic,15.16
27,basic,13.0
29,basic,15.52
29,basic,16.28
29,basic,16.36
29,basic,13.68
31,basic,16.92
31,basic,14.88
31,basic,15.96
31,basic,16.76
33,basic,16.6
33,basic,17.4
33,basic,17.12
33,basic,16.92
35,basic,17.32
35,basic,18.56
35,basic,17.44
35,basic,16.88
37,basic,19.12
37,basic,20.36
37,basic,19.72
37,basic,18.8
39,basic,19.12
39,basic,20.56
39,basic,20.48
39,basic,18.56
41,basic,19.76
41,basic,20.32
41,basic,20.8
41,basic,21.2
43,basic,22.16
43,basic,20.96
43,basic,22.4
43,basic,22.8
45,basic,22.92
45,basic,22.96
45,basic,23.0
45,basic,22.48
47,basic,24.84
47,basic,23.44
47,basic,22.16
47,basic,23.84
49,basic,25.04
49,basic,24.4
49,basic,26.16
49,basic,25.16
51,basic,25.44
51,basic,25.64
51,basic,24.96
51,basic,24.88
53,basic,27.28
53,basic,26.6
53,basic,27.44
53,basic,25.72
55,basic,26.4
55,basic,28.0
55,basic,27.4
55,basic,25.68
57,basic,27.88
57,basic,29.56
57,basic,28.04
57,basic,28.96
59,basic,27.96
59,basic,28.64
59,basic,29.96
59,basic,30.88
61,basic,30.76
